業別,水質項目,最大限值,單位,備註
# ── 一般業 (放流水標準, 環境部公告) ──
一般,pH,9.0,-,下限 6.0
一般,pH_min,6.0,-,
一般,BOD,30,mg/L,
一般,COD,100,mg/L,
一般,SS,30,mg/L,
一般,懸浮固體,30,mg/L,同 SS
一般,氨氮,10,mg/L,
一般,真色色度,550,ADMI,
一般,油脂,10,mg/L,
一般,氰化物,1.0,mg/L,
一般,氟鹽,15,mg/L,
一般,氟化物,15,mg/L,同氟鹽
一般,陰離子界面活性劑,10,mg/L,
一般,硝酸鹽氮,50,mg/L,放流至飲用水保護區則 10
一般,總磷,4,mg/L,僅放流至湖泊水庫
一般,銅,3,mg/L,
一般,鎘,0.03,mg/L,
一般,鉛,1,mg/L,
一般,鋅,5,mg/L,
一般,鎳,1,mg/L,
一般,鉻,2,mg/L,總鉻
一般,總鉻,2,mg/L,
一般,六價鉻,0.5,mg/L,
一般,砷,0.5,mg/L,
一般,硒,0.5,mg/L,
一般,銀,0.5,mg/L,
一般,汞,0.005,mg/L,總汞
一般,總汞,0.005,mg/L,
一般,鋇,2,mg/L,
一般,錫,1,mg/L,
一般,硼,1,mg/L,
一般,鉬,0.6,mg/L,

# ── 電鍍業 (含化學鎳、電解鎳, 主要重金屬) ──
# 直接適用「一般業」放流水標準, 但部分項目較嚴
電鍍業,pH,9.0,-,
電鍍業,pH_min,6.0,-,
電鍍業,BOD,30,mg/L,
電鍍業,COD,100,mg/L,
電鍍業,SS,30,mg/L,
電鍍業,懸浮固體,30,mg/L,
電鍍業,氰化物,1.0,mg/L,
電鍍業,氟鹽,15,mg/L,
電鍍業,銅,3,mg/L,
電鍍業,鎘,0.03,mg/L,
電鍍業,鉛,1,mg/L,
電鍍業,鋅,5,mg/L,
電鍍業,鎳,1,mg/L,
電鍍業,總鉻,2,mg/L,
電鍍業,六價鉻,0.5,mg/L,
電鍍業,砷,0.5,mg/L,
電鍍業,總汞,0.005,mg/L,
電鍍業,錫,1,mg/L,
電鍍業,硼,1,mg/L,

# ── 半導體業 ──
半導體業,pH,9.0,-,
半導體業,pH_min,6.0,-,
半導體業,BOD,30,mg/L,
半導體業,COD,100,mg/L,
半導體業,SS,30,mg/L,
半導體業,氟鹽,10,mg/L,半導體業較嚴 (環境部公告)
半導體業,氟化物,10,mg/L,
半導體業,氨氮,40,mg/L,半導體業較寬
半導體業,銅,1,mg/L,半導體業較嚴
半導體業,砷,0.5,mg/L,
半導體業,硼,1,mg/L,

# ── 光電業 (TFT-LCD) ──
光電業,pH,9.0,-,
光電業,pH_min,6.0,-,
光電業,COD,100,mg/L,
光電業,SS,30,mg/L,
光電業,氟鹽,15,mg/L,
光電業,氨氮,30,mg/L,
光電業,硝酸鹽氮,50,mg/L,
光電業,銅,1,mg/L,
光電業,鎳,1,mg/L,

# ── 食品製造業 ──
食品業,pH,9.0,-,
食品業,pH_min,6.0,-,
食品業,BOD,30,mg/L,
食品業,COD,100,mg/L,
食品業,SS,30,mg/L,
食品業,氨氮,20,mg/L,
食品業,油脂,10,mg/L,
食品業,陰離子界面活性劑,10,mg/L,

# ── 印染整理業 ──
印染業,pH,9.0,-,
印染業,pH_min,6.0,-,
印染業,BOD,30,mg/L,
印染業,COD,160,mg/L,印染業較寬
印染業,SS,30,mg/L,
印染業,真色色度,550,ADMI,
印染業,陰離子界面活性劑,10,mg/L,
印染業,銅,3,mg/L,
印染業,鎘,0.03,mg/L,
印染業,六價鉻,0.5,mg/L,

# ── 紙漿造紙業 ──
紙漿造紙業,pH,9.0,-,
紙漿造紙業,pH_min,6.0,-,
紙漿造紙業,BOD,40,mg/L,
紙漿造紙業,COD,150,mg/L,
紙漿造紙業,SS,40,mg/L,
紙漿造紙業,真色色度,800,ADMI,

# ── 石化業 ──
石化業,pH,9.0,-,
石化業,pH_min,6.0,-,
石化業,BOD,30,mg/L,
石化業,COD,100,mg/L,
石化業,SS,30,mg/L,
石化業,油脂,10,mg/L,
石化業,酚類,1.0,mg/L,
